County, State, FIPS Code, Total Pop, Median Income ($), No. of Housing Units, Median Home Value ($), No. of Owner Occupied Housing Units, No. of Owner Occ. Housing Units with Debt, No. of Owner Occ. Housing Units without Debt
Sheridan County, Kansas, 20179, 2531, 49750, 1263, 91400, 887, 276, 611
Sherman County, Kansas, 20181, 6054, 39029, 3124, 77000, 1620, 833, 787
Smith County, Kansas, 20183, 3740, 43848, 2240, 64000, 1338, 428, 910
Stafford County, Kansas, 20185, 4320, 47377, 2303, 65100, 1503, 552, 951
Stanton County, Kansas, 20187, 2149, 43780, 1014, 73800, 640, 316, 324
Stevens County, Kansas, 20189, 5772, 55433, 2294, 96400, 1504, 721, 783
Sumner County, Kansas, 20191, 23638, 50141, 10855, 83900, 7057, 3833, 3224
Thomas County, Kansas, 20193, 7925, 48504, 3539, 105100, 2211, 1060, 1151
Trego County, Kansas, 20195, 2951, 54000, 1665, 86900, 1004, 460, 544
Wabaunsee County, Kansas, 20197, 6997, 54688, 3241, 115300, 2293, 1345, 948
Wallace County, Kansas, 20199, 1595, 47279, 813, 76300, 475, 155, 320
Washington County, Kansas, 20201, 5686, 45159, 2956, 68800, 1961, 734, 1227
Wichita County, Kansas, 20203, 2204, 57171, 868, 70600, 564, 173, 391
Wilson County, Kansas, 20205, 9061, 40306, 4663, 60100, 2808, 1369, 1439
Woodson County, Kansas, 20207, 3211, 35787, 2007, 48300, 1218, 438, 780
Wyandotte County, Kansas, 20209, 160806, 40113, 67113, 89200, 34559, 21192, 13367
Adair County, Kentucky, 21001, 18852, 33362, 8526, 82400, 5189, 2560, 2629
Allen County, Kentucky, 21003, 20355, 41326, 9323, 95500, 5665, 2912, 2753
Anderson County, Kentucky, 21005, 21761, 53974, 9222, 136800, 6501, 4686, 1815
Ballard County, Kentucky, 21007, 8256, 42244, 3889, 101800, 2678, 1332, 1346
Barren County, Kentucky, 21009, 42925, 38370, 19372, 105800, 11454, 6603, 4851
Bath County, Kentucky, 21011, 11978, 33483, 5390, 73500, 3205, 1602, 1603
Bell County, Kentucky, 21013, 27950, 22443, 13109, 60400, 7341, 2736, 4605
Boone County, Kentucky, 21015, 124617, 66730, 47466, 175100, 32785, 25085, 7700
Bourbon County, Kentucky, 21017, 20013, 45208, 8990, 139600, 4866, 3231, 1635
Boyd County, Kentucky, 21019, 48917, 42319, 21717, 99700, 13615, 7370, 6245
Boyle County, Kentucky, 21021, 29388, 39704, 12385, 132500, 7235, 4338, 2897
Bracken County, Kentucky, 21023, 8425, 36327, 3827, 95800, 2517, 1408, 1109
Breathitt County, Kentucky, 21025, 13591, 25817, 6206, 47500, 4051, 1133, 2918
Breckinridge County, Kentucky, 21027, 20061, 43479, 10615, 88000, 5784, 2813, 2971
Bullitt County, Kentucky, 21029, 76961, 55975, 30175, 144700, 22946, 15959, 6987
Butler County, Kentucky, 21031, 12835, 33536, 5861, 90800, 3799, 1586, 2213
Caldwell County, Kentucky, 21033, 12826, 42537, 6271, 96700, 3767, 1881, 1886
Calloway County, Kentucky, 21035, 38106, 37034, 18237, 119900, 9355, 5009, 4346
Campbell County, Kentucky, 21037, 91475, 54621, 39754, 150400, 24368, 17303, 7065
Carlisle County, Kentucky, 21039, 4984, 38829, 2426, 77200, 1630, 747, 883
Carroll County, Kentucky, 21041, 10830, 41439, 4687, 99200, 2424, 1421, 1003
Carter County, Kentucky, 21043, 27326, 36696, 12285, 77100, 8182, 3727, 4455
Casey County, Kentucky, 21045, 15954, 32341, 7429, 76500, 5088, 2284, 2804
Christian County, Kentucky, 21047, 74159, 39521, 29633, 108500, 12178, 6865, 5313
Clark County, Kentucky, 21049, 35657, 47959, 15744, 142700, 9094, 6090, 3004
Clay County, Kentucky, 21051, 21300, 21549, 8866, 56300, 5713, 2047, 3666
Clinton County, Kentucky, 21053, 10188, 28025, 5264, 65300, 2892, 1073, 1819
Crittenden County, Kentucky, 21055, 9222, 35316, 4561, 76000, 2927, 1251, 1676
Cumberland County, Kentucky, 21057, 6807, 32019, 3658, 63500, 1969, 772, 1197
Daviess County, Kentucky, 21059, 98173, 45989, 42217, 115400, 26615, 16057, 10558
Edmonson County, Kentucky, 21061, 12105, 41710, 6452, 88800, 3800, 2101, 1699
Elliott County, Kentucky, 21063, 7725, 28224, 3364, 66100, 2179, 788, 1391
Estill County, Kentucky, 21065, 14476, 29770, 6860, 71400, 4011, 1772, 2239
Fayette County, Kentucky, 21067, 308306, 49778, 137885, 168100, 68194, 48977, 19217
Fleming County, Kentucky, 21069, 14544, 35469, 6612, 86700, 4258, 2280, 1978
Floyd County, Kentucky, 21071, 38649, 30096, 18157, 70600, 10754, 4447, 6307
Franklin County, Kentucky, 21073, 49778, 47964, 23252, 137500, 13241, 9006, 4235
Fulton County, Kentucky, 21075, 6422, 28359, 3360, 61000, 1543, 600, 943
Gallatin County, Kentucky, 21077, 8567, 48370, 3829, 107500, 2130, 1418, 712
Garrard County, Kentucky, 21079, 16976, 44243, 7473, 128500, 5054, 3085, 1969
Grant County, Kentucky, 21081, 24670, 44824, 9956, 124900, 5864, 3734, 2130
Graves County, Kentucky, 21083, 37502, 39530, 16753, 92900, 10686, 5567, 5119
Grayson County, Kentucky, 21085, 26001, 35030, 13526, 95500, 7109, 3863, 3246
Green County, Kentucky, 21087, 11149, 34982, 5286, 74200, 3550, 1572, 1978
Greenup County, Kentucky, 21089, 36477, 45370, 16315, 97700, 10972, 5945, 5027
Hancock County, Kentucky, 21091, 8669, 50476, 3711, 104200, 2512, 1280, 1232
Hardin County, Kentucky, 21093, 107529, 50765, 45308, 143100, 25215, 17151, 8064
Harlan County, Kentucky, 21095, 28400, 25814, 13486, 52000, 7960, 3009, 4951
Harrison County, Kentucky, 21097, 18648, 35681, 8218, 113000, 4791, 2763, 2028
Hart County, Kentucky, 21099, 18441, 34774, 8710, 83600, 5273, 2715, 2558
Henderson County, Kentucky, 21101, 46396, 41036, 20421, 105500, 11863, 7298, 4565
Henry County, Kentucky, 21103, 15455, 46495, 6649, 121300, 4195, 2588, 1607
Hickman County, Kentucky, 21105, 4720, 41218, 2335, 68400, 1470, 592, 878
Hopkins County, Kentucky, 21107, 46518, 42346, 21257, 89500, 13324, 7199, 6125
Jackson County, Kentucky, 21109, 13357, 29826, 6520, 65900, 4239, 1743, 2496
Jefferson County, Kentucky, 21111, 755809, 48695, 340132, 150400, 189914, 127645, 62269
Jessamine County, Kentucky, 21113, 50328, 50558, 19796, 160400, 11676, 8255, 3421
Johnson County, Kentucky, 21115, 23350, 35570, 10555, 79200, 6766, 2925, 3841
Kenton County, Kentucky, 21117, 163007, 54296, 69369, 145200, 40956, 29842, 11114
Knott County, Kentucky, 21119, 16000, 30411, 7458, 57900, 4643, 1457, 3186
Knox County, Kentucky, 21121, 31809, 26599, 14471, 78400, 7802, 2965, 4837
Larue County, Kentucky, 21123, 14149, 38578, 6249, 110100, 3895, 2394, 1501
Laurel County, Kentucky, 21125, 59751, 36020, 25447, 94400, 16096, 8277, 7819
Lawrence County, Kentucky, 21127, 15821, 35935, 7272, 81400, 4706, 2056, 2650
Lee County, Kentucky, 21129, 7119, 22698, 3436, 67700, 2182, 857, 1325
Leslie County, Kentucky, 21131, 10997, 25872, 5257, 45500, 3199, 991, 2208
Letcher County, Kentucky, 21133, 23671, 30333, 11580, 56300, 7112, 2550, 4562
Lewis County, Kentucky, 21135, 13790, 28630, 6471, 67100, 4115, 1584, 2531
Lincoln County, Kentucky, 21137, 24498, 37139, 10849, 93600, 7189, 3807, 3382
Livingston County, Kentucky, 21139, 9394, 42171, 4830, 86900, 3031, 1583, 1448
Logan County, Kentucky, 21141, 26851, 38570, 12314, 94600, 7359, 3818, 3541
Lyon County, Kentucky, 21143, 8402, 46931, 4796, 141000, 2644, 1352, 1292
McCracken County, Kentucky, 21145, 65408, 44067, 31342, 124400, 18511, 10570, 7941
McCreary County, Kentucky, 21147, 18001, 19328, 7441, 62300, 4354, 1951, 2403
McLean County, Kentucky, 21149, 9500, 40770, 4250, 91700, 3027, 1535, 1492
Madison County, Kentucky, 21151, 85838, 42390, 35633, 144800, 18991, 11838, 7153
Magoffin County, Kentucky, 21153, 12979, 28500, 5932, 53100, 3628, 1245, 2383
Marion County, Kentucky, 21155, 19717, 38826, 8196, 98200, 5504, 2949, 2555
Marshall County, Kentucky, 21157, 31181, 45212, 15898, 111600, 9813, 5746, 4067
Martin County, Kentucky, 21159, 12631, 25795, 5150, 68200, 3086, 903, 2183
Mason County, Kentucky, 21161, 17296, 38824, 8128, 101100, 4510, 2461, 2049
Meade County, Kentucky, 21163, 29098, 49884, 12106, 126100, 7563, 4872, 2691
Menifee County, Kentucky, 21165, 6343, 31503, 3798, 78100, 1878, 802, 1076
Mercer County, Kentucky, 21167, 21342, 42083, 10038, 133600, 6296, 3567, 2729
Metcalfe County, Kentucky, 21169, 9985, 32294, 4676, 82600, 3039, 1449, 1590
Monroe County, Kentucky, 21171, 10765, 31045, 5208, 70600, 3232, 1475, 1757
Montgomery County, Kentucky, 21173, 27167, 39275, 11723, 114000, 6616, 3808, 2808
Morgan County, Kentucky, 21175, 13428, 29707, 5849, 75500, 3578, 1484, 2094
Muhlenberg County, Kentucky, 21177, 31309, 38961, 13665, 77800, 9173, 4641, 4532
Nelson County, Kentucky, 21179, 44564, 49298, 18443, 133600, 12796, 7725, 5071
Nicholas County, Kentucky, 21181, 7075, 36097, 3254, 83900, 2015, 1155, 860
Ohio County, Kentucky, 21183, 24065, 40189, 10228, 83700, 6863, 3376, 3487
Oldham County, Kentucky, 21185, 63037, 85452, 21089, 247500, 16912, 12607, 4305
Owen County, Kentucky, 21187, 10711, 41934, 5645, 98000, 3114, 1728, 1386
Owsley County, Kentucky, 21189, 4616, 20985, 2259, 69800, 1338, 595, 743
Pendleton County, Kentucky, 21191, 14514, 48353, 6323, 104800, 4150, 2548, 1602
Perry County, Kentucky, 21193, 28041, 32667, 12775, 71200, 7981, 3013, 4968
Pike County, Kentucky, 21195, 63434, 33183, 30309, 70400, 19063, 7510, 11553
Powell County, Kentucky, 21197, 12447, 29736, 5596, 76600, 3326, 1635, 1691
Pulaski County, Kentucky, 21199, 63635, 34790, 31267, 106800, 17669, 9723, 7946
Robertson County, Kentucky, 21201, 2208, 31741, 1103, 104000, 735, 301, 434
Rockcastle County, Kentucky, 21203, 16942, 31555, 7686, 73900, 5016, 2291, 2725
Rowan County, Kentucky, 21205, 23608, 36860, 10107, 115300, 5302, 3014, 2288
Russell County, Kentucky, 21207, 17669, 30720, 9942, 88000, 5177, 2406, 2771
Scott County, Kentucky, 21209, 50178, 63027, 20154, 164600, 13019, 9705, 3314
Shelby County, Kentucky, 21211, 44290, 60324, 16901, 175700, 10979, 7309, 3670
Simpson County, Kentucky, 21213, 17704, 39679, 7531, 116800, 4271, 2497, 1774
Spencer County, Kentucky, 21215, 17577, 63000, 6883, 176900, 5320, 3928, 1392
Taylor County, Kentucky, 21217, 24993, 33340, 10954, 93700, 6357, 3429, 2928
Todd County, Kentucky, 21219, 12524, 40497, 5292, 87300, 3287, 1531, 1756
Trigg County, Kentucky, 21221, 14250, 44083, 7835, 114100, 4946, 2653, 2293
Trimble County, Kentucky, 21223, 8783, 47409, 3923, 112000, 2686, 1588, 1098
Union County, Kentucky, 21225, 15138, 40120, 6183, 84100, 4015, 2283, 1732
Warren County, Kentucky, 21227, 118950, 44911, 49133, 141500, 26135, 17214, 8921
Washington County, Kentucky, 21229, 11910, 40976, 5077, 98100, 3529, 1928, 1601
Wayne County, Kentucky, 21231, 20655, 28573, 10860, 80300, 5592, 2497, 3095
Webster County, Kentucky, 21233, 13357, 38917, 5934, 74600, 3626, 1629, 1997
Whitley County, Kentucky, 21235, 35794, 31014, 15180, 77900, 8733, 4412, 4321
Wolfe County, Kentucky, 21237, 7261, 20504, 3652, 52700, 1934, 529, 1405
Woodford County, Kentucky, 21239, 25317, 58750, 10862, 181300, 6762, 4577, 2185
Acadia Parish, Louisiana, 22001, 62163, 37649, 25737, 91000, 15958, 6706, 9252
Allen Parish, Louisiana, 22003, 25653, 40948, 9781, 81100, 5983, 2639, 3344
Ascension Parish, Louisiana, 22005, 114738, 70551, 43255, 168600, 32259, 21144, 11115
Assumption Parish, Louisiana, 22007, 23057, 49167, 10470, 107300, 6950, 2803, 4147
Avoyelles Parish, Louisiana, 22009, 41389, 33739, 18157, 89500, 10443, 4692, 5751
Beauregard Parish, Louisiana, 22011, 36259, 45969, 15201, 104100, 10050, 4574, 5476
Bienville Parish, Louisiana, 22013, 13977, 32876, 7727, 69600, 4114, 1557, 2557
Bossier Parish, Louisiana, 22015, 123403, 52892, 52851, 154100, 30678, 19621, 11057
Caddo Parish, Louisiana, 22017, 254742, 41234, 112557, 128100, 60059, 33351, 26708
Calcasieu Parish, Louisiana, 22019, 195887, 45312, 84954, 124600, 51678, 26908, 24770
Caldwell Parish, Louisiana, 22021, 9990, 33294, 5014, 64400, 2870, 1207, 1663
Cameron Parish, Louisiana, 22023, 6706, 64231, 3524, 97400, 2369, 902, 1467
Catahoula Parish, Louisiana, 22025, 10247, 34904, 4901, 71100, 2793, 1068, 1725
Claiborne Parish, Louisiana, 22027, 16639, 32072, 7760, 73700, 4082, 1546, 2536
Concordia Parish, Louisiana, 22029, 20449, 29654, 9418, 77400, 4711, 1942, 2769
De Soto Parish, Louisiana, 22031, 26965, 41468, 12369, 98400, 7566, 3927, 3639
East Baton Rouge Parish, Louisiana, 22033, 444690, 49285, 190343, 170500, 100963, 65195, 35768
East Carroll Parish, Louisiana, 22035, 7501, 21099, 3156, 49300, 1278, 469, 809
East Feliciana Parish, Louisiana, 22037, 19855, 45520, 8138, 127100, 5660, 2557, 3103
Evangeline Parish, Louisiana, 22039, 33768, 30009, 14815, 83900, 7895, 3309, 4586
Franklin Parish, Louisiana, 22041, 20550, 30275, 9091, 79300, 5258, 1857, 3401
Grant Parish, Louisiana, 22043, 22362, 39914, 8982, 83200, 5323, 2285, 3038
Iberia Parish, Louisiana, 22045, 73938, 45261, 30002, 99600, 18573, 8513, 10060
Iberville Parish, Louisiana, 22047, 33229, 45117, 12914, 112700, 8354, 3712, 4642
Jackson Parish, Louisiana, 22049, 16109, 38029, 7729, 77200, 4110, 1776, 2334
Jefferson Parish, Louisiana, 22051, 435092, 47947, 189163, 172700, 103991, 60975, 43016
Jefferson Davis Parish, Louisiana, 22053, 31434, 39063, 13519, 91900, 8622, 3854, 4768
Lafayette Parish, Louisiana, 22055, 231811, 51869, 96468, 166700, 57277, 34383, 22894
Lafourche Parish, Louisiana, 22057, 97474, 51030, 39418, 133200, 26975, 12869, 14106
LaSalle Parish, Louisiana, 22059, 14899, 37310, 6581, 70300, 4347, 1797, 2550
Lincoln Parish, Louisiana, 22061, 47349, 33467, 19645, 126100, 9232, 4636, 4596
Livingston Parish, Louisiana, 22063, 133949, 58251, 52888, 152600, 38124, 23550, 14574
Madison Parish, Louisiana, 22065, 11873, 23854, 4884, 61700, 2146, 755, 1391
Morehouse Parish, Louisiana, 22067, 27012, 28003, 12494, 80600, 6852, 2629, 4223
Natchitoches Parish, Louisiana, 22069, 39330, 31345, 18720, 101900, 8391, 3742, 4649
Orleans Parish, Louisiana, 22071, 376738, 36792, 191951, 192400, 70843, 39115, 31728
Ouachita Parish, Louisiana, 22073, 155769, 37754, 65803, 123300, 34429, 19421, 15008
Plaquemines Parish, Louisiana, 22075, 23599, 50314, 9813, 155300, 5941, 2699, 3242
Pointe Coupee Parish, Louisiana, 22077, 22498, 43825, 11257, 115800, 6713, 2916, 3797
Rapides Parish, Louisiana, 22079, 132225, 40734, 56740, 125800, 30052, 15949, 14103
Red River Parish, Louisiana, 22081, 8838, 38000, 4132, 83000, 2569, 1024, 1545
Richland Parish, Louisiana, 22083, 20777, 36421, 8786, 82500, 5055, 2240, 2815
Sabine Parish, Louisiana, 22085, 24248, 38828, 14344, 79900, 7049, 2628, 4421
St. Bernard Parish, Louisiana, 22087, 42858, 42753, 16800, 130000, 9810, 5125, 4685
St. Charles Parish, Louisiana, 22089, 52639, 59990, 20209, 184300, 14886, 8939, 5947
St. Helena Parish, Louisiana, 22091, 10818, 35437, 5163, 78400, 3516, 1292, 2224
St. James Parish, Louisiana, 22093, 21650, 51107, 8650, 129200, 6289, 3050, 3239
St. John the Baptist Parish, Louisiana, 22095, 44161, 50921, 17584, 150000, 11682, 7100, 4582
St. Landry Parish, Louisiana, 22097, 83613, 32625, 36047, 90800, 21374, 9050, 12324
St. Martin Parish, Louisiana, 22099, 53126, 42794, 22390, 101700, 14952, 7093, 7859
St. Mary Parish, Louisiana, 22101, 53441, 40781, 23162, 92900, 13607, 5311, 8296
St. Tammany Parish, Louisiana, 22103, 242960, 62137, 97891, 197100, 68611, 44868, 23743
Tangipahoa Parish, Louisiana, 22105, 125486, 41302, 51938, 137500, 30751, 17100, 13651
Tensas Parish, Louisiana, 22107, 4893, 22940, 3367, 54200, 1166, 329, 837
Terrebonne Parish, Louisiana, 22109, 112742, 47826, 44363, 137000, 28736, 13999, 14737
Union Parish, Louisiana, 22111, 22533, 34992, 11420, 88000, 6826, 2764, 4062
Vermilion Parish, Louisiana, 22113, 59110, 45374, 25722, 98100, 16398, 7026, 9372
Vernon Parish, Louisiana, 22115, 52476, 46312, 21649, 98000, 9547, 4452, 5095
Washington Parish, Louisiana, 22117, 46556, 30705, 21232, 79600, 12740, 5416, 7324
Webster Parish, Louisiana, 22119, 40617, 33681, 19421, 81800, 11176, 4934, 6242
West Baton Rouge Parish, Louisiana, 22121, 24669, 53703, 9873, 162500, 6471, 3756, 2715
West Carroll Parish, Louisiana, 22123, 11454, 31926, 5065, 66800, 2961, 1033, 1928
West Feliciana Parish, Louisiana, 22125, 15415, 56685, 5214, 188200, 2974, 1602, 1372
Winn Parish, Louisiana, 22127, 14855, 31087, 7243, 73100, 3651, 1370, 2281
Androscoggin County, Maine, 23001, 107393, 47537, 49164, 151100, 28372, 18875, 9497
Aroostook County, Maine, 23003, 70005, 36923, 39477, 94800, 21450, 11565, 9885
Cumberland County, Maine, 23005, 286119, 60051, 139772, 243800, 79075, 55371, 23704
Franklin County, Maine, 23007, 30402, 42811, 21886, 129600, 9456, 5208, 4248
Hancock County, Maine, 23009, 54658, 47030, 40413, 198300, 17788, 9868, 7920
Kennebec County, Maine, 23011, 121112, 46917, 61383, 150600, 36158, 22810, 13348
Knox County, Maine, 23013, 39723, 50693, 23889, 197000, 12995, 7865, 5130
Lincoln County, Maine, 23015, 34156, 50462, 23602, 204100, 11822, 7031, 4791
Oxford County, Maine, 23017, 57421, 40630, 36264, 135500, 17225, 10151, 7074
Penobscot County, Maine, 23019, 153437, 44271, 74196, 137400, 41889, 26419, 15470
Piscataquis County, Maine, 23021, 17156, 37495, 15390, 109700, 5618, 2944, 2674
Sagadahoc County, Maine, 23023, 35092, 53298, 18417, 189300, 11625, 7583, 4042
Somerset County, Maine, 23025, 51577, 40066, 30720, 107300, 16701, 9324, 7377
Waldo County, Maine, 23027, 38976, 44082, 21717, 157800, 13094, 7235, 5859
Washington County, Maine, 23029, 32191, 38083, 23013, 106900, 10638, 4990, 5648
York County, Maine, 23031, 199682, 57919, 106924, 229600, 60089, 41992, 18097
Allegany County, Maryland, 24001, 73549, 40551, 33262, 120800, 19481, 10760, 8721
Anne Arundel County, Maryland, 24003, 555280, 89860, 217545, 334100, 150384, 115325, 35059
Baltimore County, Maryland, 24005, 822959, 67095, 336682, 246600, 207389, 144589, 62800
Calvert County, Maryland, 24009, 90114, 95828, 34384, 341800, 25432, 20805, 4627
Caroline County, Maryland, 24011, 32661, 52465, 13525, 193300, 8402, 5705, 2697
Carroll County, Maryland, 24013, 167444, 85385, 62919, 321300, 49208, 37037, 12171
Cecil County, Maryland, 24015, 101960, 66396, 42030, 242900, 27019, 18767, 8252
Charles County, Maryland, 24017, 152754, 90607, 57156, 284500, 41321, 34457, 6864
Dorchester County, Maryland, 24019, 32534, 47093, 16688, 187700, 8698, 5268, 3430
Frederick County, Maryland, 24021, 241373, 83700, 92708, 300100, 65427, 51201, 14226
Garrett County, Maryland, 24023, 29813, 45432, 19022, 165300, 8848, 4762, 4086
Harford County, Maryland, 24025, 248966, 80465, 97572, 278500, 72081, 53018, 19063
Howard County, Maryland, 24027, 304115, 110238, 113490, 429100, 79666, 63344, 16322
Kent County, Maryland, 24029, 19923, 58147, 10644, 247200, 5478, 3369, 2109
Montgomery County, Maryland, 24031, 1017859, 99435, 382913, 454700, 241654, 184677, 56977
Prince George's County, Maryland, 24033, 892816, 74260, 329897, 254700, 189462, 158208, 31254
Queen Anne's County, Maryland, 24035, 48600, 85963, 20577, 339900, 14682, 10495, 4187
St. Mary's County, Maryland, 24037, 109614, 86987, 42762, 297200, 27650, 20452, 7198
Somerset County, Maryland, 24039, 25980, 35154, 11181, 149600, 5430, 2986, 2444
Talbot County, Maryland, 24041, 37799, 58228, 20027, 319500, 11131, 7024, 4107
Washington County, Maryland, 24043, 149270, 56228, 61111, 200100, 35980, 24375, 11605
Wicomico County, Maryland, 24045, 101182, 52278, 41685, 172400, 23060, 15686, 7374
Worcester County, Maryland, 24047, 51519, 56773, 55749, 243100, 15634, 9610, 6024
Baltimore city, Maryland, 24510, 622454, 42241, 296727, 152400, 114145, 79560, 34585
Barnstable County, Massachusetts, 25001, 214766, 63251, 161311, 363500, 74410, 47444, 26966
Berkshire County, Massachusetts, 25003, 129288, 49956, 68385, 204700, 37899, 24198, 13701
Bristol County, Massachusetts, 25005, 552763, 56842, 230986, 273100, 131608, 91901, 39707
Dukes County, Massachusetts, 25007, 17048, 64222, 17446, 660800, 4802, 2946, 1856
Essex County, Massachusetts, 25009, 763849, 69068, 307894, 353100, 181293, 130543, 50750
Franklin County, Massachusetts, 25011, 71144, 55221, 33646, 220800, 20834, 13431, 7403
Hampden County, Massachusetts, 25013, 468041, 50461, 192100, 196400, 109087, 74143, 34944
Hampshire County, Massachusetts, 25015, 160759, 61368, 62860, 265400, 38603, 25464, 13139
Middlesex County, Massachusetts, 25017, 1556116, 85118, 617089, 414600, 365501, 257747, 107754
Nantucket County, Massachusetts, 25019, 10556, 84057, 11763, 902500, 2568, 1793, 775
Norfolk County, Massachusetts, 25021, 687721, 88262, 272397, 399500, 178492, 128876, 49616
Plymouth County, Massachusetts, 25023, 503681, 75459, 201930, 328600, 137942, 100975, 36967
Suffolk County, Massachusetts, 25025, 758919, 55044, 321386, 377100, 105671, 79360, 26311
Worcester County, Massachusetts, 25027, 810935, 65313, 328627, 252600, 194957, 141342, 53615
Alcona County, Michigan, 26001, 10550, 38033, 11056, 97500, 4454, 2183, 2271
Alger County, Michigan, 26003, 9476, 39300, 6581, 116400, 2977, 1421, 1556
